"","phrase","coefficient"
"1","vehicl household",-0.7814
"2","adult near",-0.7122
"3","183 member",-0.7039
"4","lesbian across",-0.7021
"5","11 attacksmor",-0.7019
"6","partnership mobil",-0.6905
"7","simultan effort",-0.6821
"8","sever longlast",-0.6814
"9","forward set",-0.6692
"10","2007 health",-0.6418
"11","increas lowincom",-0.6111
"12","pollut way",-0.5841
"13","prepar rise",-0.5704
"14","alabama antiimmigr",-0.569
"15","signific devast",-0.5658
"16","purchas measur",-0.554
"17","becom campaign",-0.5383
"18","shape work",-0.5351
"19","cooper partnership",-0.5273
"20","statefund preschool",-0.5239
"21","sustain mortgag",-0.5185
"22","1000indigen iraqi",-0.5138
"23","latino 25",-0.5079
"24","american progressfind",-0.495
"25","american progressse",-0.4891
"26","newsth last",-0.4875
"27","america immun",-0.4829
"28","abid ethic",-0.4785
"29","tout measur",-0.4778
"30","fund capac",-0.4712
"31","2016 attribut",-0.4677
"32","skeptic mainstream",-0.4582
"33","american progressfor",-0.4443
"34","book evangel",-0.4427
"35","pledg greater",-0.433
"36","126 privat",-0.4275
"37","millhis polici",-0.4194
"38","incom insecur",-0.4184
"39","relat mere",-0.418
"40","theme chines",-0.4179
"41","american progressmor",-0.4151
"42","learn handl",-0.4083
"43","implement futur",-0.4062
"44","oil hous",-0.4033
"45","american progress",-0.3995
"46","background reduc",-0.3983
"47","lilli senior",-0.3858
"48","main florida",-0.3814
"49","2004 newli",-0.3771
"50","colleg higher",-0.3752
"51","cycl start",-0.3731
"52","treati claim",-0.3716
"53","uschina strateg",-0.3697
"54","taxpay communiti",-0.3672
"55","week seri",-0.3645
"56","draw larg",-0.3639
"57","yearth obama",-0.362
"58","new giveaway",-0.3611
"59","infrastructur recent",-0.3609
"60","meet receiv",-0.3606
"61","countri stark",-0.3552
"62","15 flip",-0.3544
"63","10 prime",-0.3523
"64","contribut fulli",-0.3513
"65","recycl idea",-0.3512
"66","percentag lowincom",-0.3495
"67","may treasuri",-0.3494
"68","california et",-0.3477
"69","conathan director",-0.3476
"70","percent fear",-0.3429
"71","thiev terrorist",-0.3408
"72","near utah",-0.3406
"73","futur generationsbut",-0.339
"74","improv broadband",-0.3375
"75","law hb",-0.3338
"76","foregon revenu",-0.3309
"77","month declin",-0.3302
"78","loan policymak",-0.3287
"79","undermin epa",-0.3286
"80","period especi",-0.3273
"81","risk hunger",-0.3254
"82","director amnesti",-0.324
"83","reset reclaim",-0.3224
"84","tehran decis",-0.3218
"85","assist manag",-0.3209
"86","foreclosur neighborhood",-0.3174
"87","alterman senior",-0.3173
"88","appear bush",-0.3171
"89","hope upward",-0.3165
"90","well water",-0.315
"91","help refin",-0.3143
"92","open avail",-0.3107
"93","talk care",-0.309
"94","04 11",-0.3085
"95","card outstand",-0.307
"96","make 48",-0.3055
"97","2010 manufactur",-0.3051
"98","interest credibl",-0.3048
"99","russian abandon",-0.3045
"100","forg bond",-0.3028
"101","morgan polici",-0.3025
"102","dewan director",-0.3021
"103","dadt polici",-0.3002
"104","low share",-0.2991
"105","smaller older",-0.2957
"106","health specialist",-0.2925
"107","fulwood iii",-0.2916
"108","need abort",-0.2914
"109","2000gradual popul",-0.2903
"110","percentag deplet",-0.2901
"111","protect came",-0.2895
"112","87 make",-0.2891
"113","alabama popul",-0.2885
"114","abort contrast",-0.2863
