speech_id|speech
460047474|But the report says this will cost $800. which is more than the limit of the law.
460047475|The whole cost of three thousand copies will be $800.
460047476|And that exceeds the $500 which is the limit of the law.
460047477|Twothirds of that will be over $500. and I am willing to amend the report so the printing shall not exceed $500. as I understand that to be the limit.
460047478|Oh. no. you cannot amend the report.
460047479|The Clerk will read the provision of the statute.
460047480|This will cost over $800.
460047481|The Chair understands this is over $500.
460047482|The requirements of the law have been complied with in every respect in reference to this matter and the Chair has never known of the point of order being raised against the printing of public documents in this way. and yet a strict construction of the rule. or that clause of Rule 112 which includes propositions authorizing payments out of appropriations already madeas the appropriation has already been made out of which this money is to be paid for printing of this documentit would bring it within the technical language of the rule. Therefore the Chair is compelled to sustain the point of order. and the resolution is referred to the Committee of the Whole on the state of the Union.
460047483|I am directed by the Select Committee on the state of the laws respecting ascertainment and declaration of result of election of President and VicePresident to report back favorably a bill (H. R. No. 2023) to amend sundry provisions of chapter 1. title 3. of the Revised Statutes of the United States. relating to presidential elections. and to provide for and regulate the counting of the votes for President and VicePresident. and the decision of questions arising thereon. and to move that it be printed. and further. that it shall be considered on the 296h of January in the House after the morning hour. not to interfere with appropriation bills. and from day to day until disposed of.
460047484|Let the bill be read before the time is fixed for its consideration. It is an important subject. and I should like to hear the bill read.
460047485|I now renew the motion that I have made. that the bill should be printed and made the special order for the 29th day of January next after the morning hour in the House. not to interfere with appropriation bills. and from day to day until disposed of.
460047486|I ask that the gentleman shall accompany his motion with a request. also. that there shall be printed for the use of members of the House the sections of the Revised Statutes which are rep aled by this bill.
460047487|I have no objection to that.
460047488|If this be made the special order for the day named. I should like to have it understood that it is not to interfere with a special order already made by the House for the second day of Fobruary. that is. of the bill revising the navigation laws of the country. commonly known as the steamboat bill. It is a matter of some importance. and if passed at all by the House it should be passed at an early day in order to give time for its consideration in the Senate. I hope it may be understood that. if this be made the special order for the day requested. it shall not interfere with that other special order.
460047489|It will not interfere with that order. because. all special orders standing upon an equality. the one of earlier date takes precedence.
460047490|If I understand the Chair correctly. although this bill should run beyond the 2d day of February. it will still hold its place.
460047491|The steamboat bill. to which the gentleman alludes. would come up first. The Chair will state again the proposition of the gentleman from Indiana. so that there may be no mistake about it. He moves that the bill be printed. and its consideration set for the 29th of January. and from day to day thereafter until disposed of. after the morning hour. not to interfere with appropriation bills. and. in connection with that. the gentleman from Michigan proposes that there shall be printed. for the use of members. the statutes of the United States which may be repealed or affected.
460047492|I desire to inquire whether this bill is to be considered in the Committee of the Whole I
460047493|The gentleman from Indiana stated in the House.
460047494|Yes. sir. in the House.
460047495|It is not subject to the point of order that it shall have its first consideration in the Committee of the Whole on the state of the Union.
460047496|Let it be considered in the House as in Committee of the Whole.
460047497|That was not the gentlemans suggestion.
460047498|The proposition was to have it in the House.
460047499|The House can cut off debate or regulate debate at any time.
460047500|I hope it will be considered in the House as in Committee of the Whole. I desire an opportunity to examine into this matter. I have no desire to delay action upon it.
460047501|I do not hear very distinctly the statement made by the gentleman from Ohio.
460047502|The gentleman asks that this matter may be considered in the House as in Committee of the Whole.
460047503|The committee reporting this measure preferred that it should be considered in the House.
460047504|It will be in the House if my suggestion is adopted.
460047505|It will be open for debate under the fiveminute rule.
460047506|It may be under the fiveminute rule-
460047507|The House can regulate the debate.
460047508|I have understood from several gentlemen that they desire an opportunity to debate this at length.
460047509|If the gentleman reporting this measure to the House does not object to allowing ample debate upon it. I have no objection to the adoption of his suggestion.
460047510|The object of the committee is to have the bill fully discussed before the House.
460047511|I desire to be heard on it myself.
460047512|If there be no objection. the proposition of the gentleman from Indiana reporting this measure will be considered as agreed to.
460047513|Mr. Speaker. has the morning hour expired ?
460047514|There are a few minutes of the morning hour yet remaining.
460047515|I am willing. then. to admit that the morning hour has expired.
460047516|That will have to be done by unanimous consent. The Chair hears no objection. This will give the Committee of Ways and Means two full hours hereafter.
