SPEAKER|LINE_START|LINE_END|SPECIAL|CHAMBER
Mr. TAWNEY.|11174|11175|N|H
Mr. BURLESON.|11176|11176|N|H
Mr. TAWNEY.|11177|11178|N|H
Mr. FOSTER of Illinois.|11179|11184|N|H
Mr. TAWNEY.|11185|11191|N|H
Mr. FOSTER of Illinois.|11192|11194|N|H
Mr. TAWNEY.|11195|11206|N|H
Mr. FOSTER of Illinois.|11207|11214|N|H
Mr. TAWNEY.|11215|11221|N|H
Mr. FOSTER of Illinois.|11222|11223|N|H
Mr. TAWNEY.|11224|11230|N|H
Mr. MACON.|11237|11239|N|H
Mr. TAWNEY.|11240|11242|N|H
The CHAIRMAN.|11243|11245|Y|H
Mr. MACON.|11246|11250|N|H
The CHAIRMAN.|11251|11251|Y|H
Mr. MACON.|11259|11260|N|H
Mr. TAWNEY.|11262|11264|N|H
Mr. MACON.|11265|11266|N|H
The CHAIRMAN.|11267|11273|Y|H
Mr. MACON.|11274|11277|N|H
The CHAIRMAN.|11278|11280|Y|H
The CHAIRMAN.|11282|11283|Y|H
The SPEAKER pro tempore.|11358|11377|Y|H
The CHAIRMAN.|11381|11381|Y|H
Mr. DAVIDSON.|11391|11392|N|H
Mr. DAVIDSON.|11398|11419|N|H
Mr. TAWNEY.|11420|11422|N|H
Mr. DAVIDSON.|11423|11449|N|H
The CHAIRMAN.|11450|11451|Y|H
Mr. DAVIDSON.|11452|11452|N|H
The CHAIRMAN.|11453|11455|Y|H
Mr. KEIFER.|11456|11456|N|H
Mr. DAVIDSON.|11457|11479|N|H
Mr. MADDEN.|11480|11483|N|H
Mr. DAVIDSON.|11484|11489|N|H
-----|11495|11496|N|H
Mr. MADDEN.|11497|11499|N|H
The CHAIRMAN.|11500|11501|Y|H
Mr. TAWNEY.|11502|11507|N|H
Mr. DAVIDSON.|11508|11508|N|H
Mr. TAWNEY.|11509|11509|N|H
Mr. DAVIDSON.|11510|11513|N|H
Mr. TAWNEY.|11514|11522|N|H
Mr. STAFFORD.|11523|11523|N|H
Mr. TAWNEY.|11524|11524|N|H
Mr. STAFFORD.|11525|11526|N|H
Mr. TAWNEY.|11527|11536|N|H
Mr. COOPER of Wisconsin.|11537|11538|N|H
Mr. TAWNEY.|11539|11539|N|H
Mr. COOPER of Wisconsin.|11540|11541|N|H
Mr. TAWNEY.|11542|11543|N|H
Mr. COOPER of Wisconsin.|11544|11545|N|H
Mr. TAWNEY.|11558|11563|N|H
Mr. COX of Indiana.|11564|11564|N|H
Mr. TAWNEY.|11565|11565|N|H
Mr. COX of Indiana.|11566|11567|N|H
Mr. TAWNEY.|11568|11571|N|H
Mr. GARDNER of Michigan.|11572|11573|N|H
Mr. TAWNEY.|11574|11581|N|H
Mr. STAFFORD.|11582|11584|N|H
Mr. TAWNEY.|11585|11585|N|H
The CHAIRMAN.|11586|11587|Y|H
Mr. TAWNEY.|11588|11588|N|H
Mr. CULLOP.|11589|11590|N|H
The CHAIRMAN.|11591|11592|Y|H
Mr. CULLOP.|11593|11594|N|H
Mr. TAWNEY.|11595|11596|N|H
Mr. CULLOP.|11597|11598|N|H
Mr. TAWNEY.|11599|11600|N|H
Mr. CULLOP.|11601|11602|N|H
Mr. TAWNEY.|11603|11607|N|H
Mr. CULLOP.|11608|11609|N|H
Mr. TAWNEY.|11610|11610|N|H
Mr. CULLOP.|11611|11612|N|H
Mr. TAWNEY.|11613|11613|N|H
Mr. CULLOP.|11614|11615|N|H
Mr. TAWNEY.|11616|11619|N|H
Mr. COOPER of Wisconsin.|11620|11623|N|H
Mr. TAWNEY.|11624|11625|N|H
Mr. COOPER of Wisconsin.|11626|11628|N|H
Mr. TAWNEY.|11629|11630|N|H
Mr. COOPER of Wisconsin.|11631|11631|N|H
Mr. TAWNEY.|11632|11632|N|H
Mr. COOPER of Wisconsin.|11633|11633|N|H
Mr. TAWNEY.|11634|11634|N|H
The CHAIRMAN.|11643|11644|Y|H
Mr. NICHOLLS.|11645|11667|N|H
The CHAIRMAN.|11668|11669|Y|H
Mr. DAVIDSON.|11672|11672|N|H
Mr. TAWNEY.|11694|11695|N|H
The CHAIRMAN.|11696|11697|Y|H
Mr. TAWNEY.|11701|11702|N|H
Mr. MADDEN.|11704|11705|N|H
The CHAIRMAN.|11706|11707|Y|H
Mr. TAWNEY.|11713|11713|N|H
The CHAIRMAN.|11714|11715|Y|H
Mr. MADDEN.|11716|11762|N|H
Mr. TAWNEY.|11763|11781|N|H
Mr. MADDEN.|11782|11783|N|H
The CHAIRMAN.|11784|11785|Y|H
Mr. MADDEN.|11786|11816|N|H
The CHAIRIAN.|11817|11819|Y|H
Mr. COX of Indiana.|11830|11832|N|H
Mr. TAWNEY.|11833|11848|N|H
Mr. COX of Indiana.|11849|11853|N|H
Mr. TAWNEY.|11854|11856|N|H
Mr. COX of Indiana.|11857|11857|N|H
Mr. TAWNEY.|11858|11861|N|H
Mr. STAFFORD.|11862|11870|N|H
Mr. COX of Indiana.|11871|11872|N|H
Air. STAFFORD.|11873|11876|N|H
Mr. TAWNEY.|11877|11886|N|H
Mr. COX of Indiana.|11887|11888|N|H
Mr. TAWNEY.|11889|11891|N|H
Mr. COX of Indiana.|11892|11892|N|H
Mr. TAWNEY.|11893|11894|N|H
Mr. COX of Indiana.|11895|11895|N|H
Mr. STAFFORD.|11896|11897|N|H
Mr. COX of Indiana.|11898|11899|N|H
Mr. STAFFORD.|11900|11901|N|H
Mr. COX of Indiana.|11902|11903|N|H
Mr. STAFFORD.|11904|11904|N|H
Mr. TAWNEY.|11905|11906|N|H
Mr. COX of Indiana.|11907|11907|N|H
Mr. MADDEN.|11908|11932|N|H
Mr. TAWNEY.|11933|11936|N|H
Mr. MADDEN.|11937|11937|N|H
Mr. TAWNEY.|11938|11940|N|H
Mr. MADDEN.|11941|11954|N|H
Mr. TAWNEY.|11955|11960|N|H
Mr. MADDEN.|11961|11969|N|H
The CHAIRMAN.|11970|11971|Y|H
Mr. FITZGERALD.|11974|12014|N|H
Mr. MADDEN.|12015|12015|N|H
Mr. FITZGERALD.|12016|12016|N|H
Mr. MADDEN.|12017|12024|N|H
Mr. FITZGERALD.|12025|12032|N|H
Mr. CAMPBELL.|12033|12034|N|H
Mr. FITZGERALD.|12035|12045|N|H
Mr. MADDEN.|12046|12047|N|H
Mr. FITZGERALD.|12048|12049|N|H
Mr. MADDEN.|12050|12052|N|H
Mr. FITZGERALD.|12053|12061|N|H
The CHAIRMAN.|12062|12063|Y|H
Mr. FITZGERALD.|12064|12065|N|H
The CHAIRMAN.|12066|12068|Y|H
Mr. FITZGERALD.|12069|12081|N|H
Mr. MADDEN.|12082|12086|N|H
Mr. FITZGERALD.|12087|12089|N|H
Mr. MADDEN.|12104|12106|N|H
Mr. FITZGERALD.|12107|12120|N|H
Mr. MADDEN.|12121|12122|N|H
The CHAIRMAN.|12123|12124|Y|H
Mr. MADDEN.|12125|12132|N|H
Mr. FITZGERALD.|12133|12134|N|H
Mr. MADDEN.|12135|12142|N|H
Mr. FITZGERALD.|12143|12144|N|H
Mr. MADDEN.|12145|12152|N|H
Mr. TAWNEY.|12153|12155|N|H
Mr. MADDEN.|12156|12157|N|H
Mr. BURLESON.|12158|12158|N|H
Mr. MADDEN.|12159|12161|N|H
Mr. TAWNEY.|12162|12163|N|H
Mr. MADDEN |12164|12167|N|H
Mr. FITZGERALD.|12168|12169|N|H
Mr. MADDEN.|12170|12172|N|H
Mr. BURLESON.|12173|12173|N|H
Mr. MADDEN.|12174|12187|N|H
