file|line_start|line_end|line_end_auto|line_end_manual|type
01131930.txt|9261||9269.0|9287.0|line_end
01131930.txt|9290|9290.0|||manual_only
01131930.txt|9304|9304.0|||manual_only
01131930.txt|9426||9583.0|9429.0|line_end
01131930.txt|9794||10003.0|9915.0|line_end
01131930.txt|9916|9917.0|||manual_only
01131930.txt|9918|9918.0|||manual_only
01131930.txt|9919|9920.0|||manual_only
01131930.txt|9921|9927.0|||manual_only
01131930.txt|9928|9933.0|||manual_only
01131930.txt|9934|9935.0|||manual_only
01131930.txt|9936|9942.0|||manual_only
01131930.txt|9943|9944.0|||manual_only
01131930.txt|9945|9946.0|||manual_only
01131930.txt|9947|9949.0|||manual_only
01131930.txt|9951|10051.0|||manual_only
01131930.txt|10055||10115.0|10074.0|line_end
04171930.txt|13399||13451.0|13518.0|line_end
04171930.txt|13524|13524.0|||manual_only
04171930.txt|13534||13542.0|13537.0|line_end
04171930.txt|13568|13568.0|||manual_only
04171930.txt|13597|13597.0|||manual_only
04171930.txt|13909|13909.0|||manual_only
04171930.txt|13961|13961.0|||manual_only
04171930.txt|13985||13999.0|13989.0|line_end
04171930.txt|14070||14084.0|14192.0|line_end
04171930.txt|14320||14429.0|14397.0|line_end
06101930.txt|9670|9670.0|||manual_only
06101930.txt|9674||9687.0|9679.0|line_end
06101930.txt|9692|9692.0|||manual_only
06101930.txt|9737|9737.0|||manual_only
06101930.txt|9854||9867.0|9872.0|line_end
06101930.txt|9978|9978.0|||manual_only
06101930.txt|10065|10065.0|||manual_only
06101930.txt|10095|10095.0|||manual_only
06101930.txt|10148|10148.0|||manual_only
06101930.txt|10244|10244.0|||auto_only
06101930.txt|10246||10249.0|10246.0|line_end
06101930.txt|10315||10321.0|10316.0|line_end
06101930.txt|10325||10338.0|10329.0|line_end
06101930.txt|10567|10567.0|||manual_only
06101930.txt|10571||10589.0|10596.0|line_end
06141930.txt|27290||27450.0|27308.0|line_end
06141930.txt|27943|27949.0|||manual_only
06141930.txt|27976|27996.0|||manual_only
06141930.txt|27997||28029.0|28051.0|line_end
06141930.txt|28128|28402.0|||manual_only
06141930.txt|28641||28716.0|29056.0|line_end
06141930.txt|29063|29147.0|||manual_only
06141930.txt|29189|29211.0|||auto_only
06141930.txt|29206|29913.0|||manual_only
06141930.txt|30002|30204.0|||manual_only
