filename|start_line|end_line|session
05191880.txt|6616|7615|046
01131880.txt|1825|2824|046
04051880.txt|4879|5878|046
05131880.txt|5820|6819|046
05291890.txt|8823|9822|051
01161890.txt|4192|5191|051
08161890.txt|9725|10724|051
08091890.txt|4696|5695|051
01111900.txt|3090|4089|056
05091900.txt|5852|6851|056
03311900.txt|9707|10706|056
05141900.txt|8990|9989|056
05241910.txt|11175|12174|061
04091910.txt|4591|5590|061
01111910.txt|4045|5044|061
05191910.txt|10400|11399|061
05111920.txt|5876|6875|066
03301920.txt|6653|7652|066
05151920.txt|7004|8003|066
01101920.txt|5774|6773|066
06101930.txt|9621|10620|071
04171930.txt|13462|14461|071
06141930.txt|27651|28650|071
01131930.txt|9171|10170|071
08301940.txt|8634|9633|076
06031940.txt|12604|13603|076
09071940.txt|9661|10660|076
01161940.txt|6624|7623|076
05261950.txt|12563|13562|081
08101950.txt|28130|29129|081
01121950.txt|7846|8845|081
08031950.txt|21210|22209|081
05101960.txt|42928|43927|086
07051960.txt|17502|18501|086
01181960.txt|39730|40729|086
07111960.txt|3099|4098|086
08311970.txt|21074|22073|091
09101970.txt|47747|48746|091
06221970.txt|61824|62823|091
01271970.txt|46259|47258|091
08281980.txt|35764|36763|096
08221980.txt|33305|34304|096
06021980.txt|21829|22828|096
01231980.txt|40697|41696|096
09131990.txt|74271|75270|101
01311990.txt|22398|23397|101
09061990.txt|2213|3212|101
06111990.txt|16640|17639|101
02022000.txt|23779|24778|106
09212000.txt|35731|36730|106
09272000.txt|68947|69946|106
06192000.txt|39303|40302|106
06252010.txt|943|1942|111
01202010.txt|23119|24118|111
09272010.txt|25642|26641|111
10012010.txt|1|48|111
