filename|start_line|end_line|session
01291985.txt|17295|18294|099
06271985.txt|101990|102989|099
10051985.txt|8840|9839|099
10091985.txt|49943|50942|099
01311990.txt|23195|24194|101
06121990.txt|49175|50174|101
09141990.txt|29217|30216|101
09101990.txt|30485|31484|101
10121995.txt|76215|77214|104
09281995.txt|41219|42218|104
06221995.txt|52155|53154|104
01111995.txt|24693|25692|104
02012000.txt|28307|29306|106
09262000.txt|62810|63809|106
09202000.txt|30036|31035|106
06162000.txt|7763|8762|106
01312005.txt|12201|13200|109
09272005.txt|19476|20475|109
10032005.txt|26287|27286|109
06212005.txt|52148|53147|109
09202010.txt|7379|8378|111
06092010.txt|44864|45863|111
01212010.txt|28408|29407|111
09242010.txt|5512|6511|111
09172015.txt|21477|22476|114
06102015.txt|64711|65710|114
09252015.txt|13538|14537|114
01132015.txt|37216|38215|114
