phrase|partisanship
leagu nation|-134.918828959825
secretari treasuri|132.276689914569
take care|85.8051140983005
war depart|72.7496492427722
muscl shoal|72.0111811709755
distinguishedservic medal|-69.6036468573033
militari train|-55.1366937582344
regular armi|46.4853784420409
loan board|45.9738155100611
public health|45.1047722066067
foreign countri|43.4752706120301
univers militari|-43.2653722065477
great mani|42.568379028012
nation world|-41.6591607293346
farm loan|40.4177852681891
pay roll|39.5846834058342
feder farm|39.1241349237218
soldier sailor|38.1592750935986
equal board|37.8154164116678
secretari war|37.3478686475805
chemic foundat|35.4306694803353
feder control|35.0491344845262
sailor regular|34.2466843330278
treasuri depart|32.5384105580655
nation guard|32.4775794426444
ship board|32.2451401538022
american peopl|-31.9850863154564
cuban crop|31.7313167990502
sugar equal|31.2970910602696
nitrat plant|30.9509761776388
feder reserv|-29.0197126375855
depart govern|28.848366054206
men women|-28.7111122996891
govern unit|27.6700808565336
postal employe|-27.2327700544454
also petit|-26.309873659427
know whether|25.7240552758152
member leagu|-25.6351008951725
side aisl|-24.9561479992312
nation defens|24.6797805177302
capit stock|22.6718121482019
patent offic|22.4190034151112
garden seed|22.3909831823587
adjut general|22.3893705310694
prohibit act|-21.4826673190876
surveyor general|-21.0111618768822
detain ill|-20.5407633296706
attorney general|19.7522528273131
bureau war|19.5614932753665
feder board|19.4243273092291
war widow|19.3342298719241
grain corpor|-18.0655813674941
war profit|-16.9185921389683
quit sure|16.7067955305223
state depart|16.6187445677742
along line|16.049467801494
distinguish friend|-15.2243204036186
health servic|14.9891329778887
upon peopl|-14.8771872968425
great britain|-14.865747597403
municip court|-14.7046570765064
feder trade|14.5423712191672
subject peopl|-14.3045864048261
lumpsum appropri|14.1241279897755
secret treati|13.7751397272676
judg advoc|-13.3895170042603
waterpow legisl|13.3439426685556
speedway hospit|-13.2377640886822
organ labor|-12.6797131712204
rest upon|-12.3833787984278
tungsten ore|12.3491606773384
war prohibit|-12.1854673596088
public domain|-12.0413021558502
affair also|-11.8926427928988
tariff commiss|11.8033149697795
convert insur|-11.6968979983327
bureau effici|11.521408794994
assay offic|-11.2445232221036
navi yard|-11.192103234355
reserv offic|11.0672865526015
women children|-11.0080974149674
cuban sugar|10.67937138618
command chief|10.4381658659132
pension rate|-10.4135578623679
citi chicago|-10.3690663190623
dental offic|10.2446847767777
indian bureau|10.1717227585523
paynealdrich tariff|-10.145908559947
spanishamerican war|-10.0557822213774
pension increas|10.0070881819253
motor transport|10.0015788699408
next fiscal|9.94634196390777
postmast general|9.89711771199316
feder labor|-9.86427168271926
reserv board|-9.85987656720401
everi dollar|9.78446026405395
bill carri|9.7153717029695
trade commiss|9.62754675412152
valu railway|-9.55085936754432
increas compens|-9.4593443174044
first line|-9.40204962179237
wage board|-9.3883969491136
issu debentur|9.20378066190124
congression distribut|9.10549276373594
railway properti|-8.96286156096676
inherit tax|-8.949775397391
govern ownership|8.9369961250672
public opinion|-8.87663062120649
necess life|-8.82814668049615
porto rico|8.79979213464676
net weight|-8.76171646904982
chief staff|-8.7410601538137
account offic|8.72342617116693
ship document|-8.63128779550387
compulsori militari|-8.42411085283614
former widow|-8.42290177458664
experiment develop|8.31524399035715
cold storag|8.03282749307195
eri canal|-8.0014097343814
flavor extract|-7.97461050624312
gen ansel|-7.85399254838969
navi certain|7.85124558189126
taxpay countri|7.79944920842233
feder farmloan|7.74976346231489
