cong|mapped|unmapped|rate
43|96115|4945|0.951068672076
44|93653|2961|0.969352267787
45|107866|2762|0.975033445421
46|139464|2307|0.983727278498
47|163358|6138|0.96378675603
48|107765|1208|0.988914685289
49|127992|3336|0.974597953216
50|149698|2286|0.984958943047
51|187416|3996|0.979123565921
52|124243|1558|0.987615360768
53|184629|6503|0.965976393278
54|118936|7872|0.937921897672
55|164452|2238|0.986573879657
56|126652|3027|0.976657747207
57|110448|1325|0.988145616562
58|101016|1812|0.98237834053
59|149825|4585|0.97030632731
60|127586|2351|0.981906616283
61|234526|3613|0.984828188579
62|265977|13186|0.952765946777
63|375854|9751|0.974712464828
64|250601|6855|0.973374091107
65|342109|9986|0.971638336244
66|281876|8397|0.971072059751
67|339663|12951|0.963271452637
68|176898|6350|0.965347507203
69|199448|9057|0.956562192753
70|152196|6469|0.959228563325
71|264510|4577|0.982990631283
72|197112|3316|0.983455405432
73|160779|4557|0.972437944549
74|203782|3873|0.981348871927
75|207385|4213|0.980089603871
76|247074|4632|0.981597578127
77|207537|3120|0.985189193808
78|209633|4372|0.979570570781
79|212038|5616|0.974197579645
80|168026|3348|0.98046378097
81|279844|6740|0.97648159004
82|216926|3546|0.983916324976
83|216909|8806|0.960986199411
84|170403|6396|0.963823324793
85|218286|6302|0.971939729638
86|224321|4920|0.978537870625
87|225273|6735|0.970970828592
88|227557|5554|0.976174440503
89|227843|9069|0.961719963531
90|249141|5451|0.978589272247
91|249367|7797|0.969680826243
92|226014|7236|0.968977491961
93|259026|6497|0.975531309905
94|281977|5454|0.98102501122
95|304013|4204|0.986360259168
96|260831|3201|0.987876469519
97|205670|2616|0.987440346447
98|205402|3120|0.985037549995
99|209903|1576|0.992547723415
100|192943|1640|0.991571720037
101|169517|1800|0.989493161799
102|164631|1588|0.990446338866
103|162739|1787|0.989138494828
104|195800|1422|0.992789851031
105|140057|3288|0.977062332136
106|141407|943|0.993375482965
107|116415|579|0.995051028258
108|125664|638|0.994948615224
109|119506|931|0.992269817415
110|133182|1966|0.985452984876
111|112550|1466|0.987142155487
