cong|mapped|unmapped|rate
97|202054|3638|0.982313361725
98|201199|3264|0.984036231494
99|201888|1725|0.991528045852
100|192047|2311|0.988109570998
101|166895|2558|0.984904368763
102|162471|2248|0.986352515496
103|159939|2576|0.984149155463
104|193358|1291|0.993367548767
105|141235|1018|0.99284373616
106|141357|1191|0.991644919606
107|116866|781|0.993361496681
108|127981|1030|0.992016184666
109|117131|1115|0.990570505556
110|130093|1153|0.991214970361
111|94641|939|0.990175768989
112|91060|645|0.992966577613
113|77621|522|0.993319939086
114|67971|351|0.994862562571
